Bottle #,defect,tilt,H offset,V offset,Capacity
585,damage,0.376,0.019,0.063,300
586,None,0.177,0.021,0.066,300
587,None,0.481,0.034,0.070,300
588,None,0.220,0.019,0.058,300
589,damage,0.202,0.032,0.063,300
590,None,0.174,0.041,0.061,300
591,None,0.484,0.049,0.067,300
592,None,0.170,0.047,0.071,300
593,bump,0.271,0.021,0.064,300
594,damage,0.376,0.019,0.063,300
595,None,0.177,0.021,0.066,300
596,None,0.481,0.034,0.070,300
597,None,0.220,0.019,0.058,300
598,damage,0.202,0.032,0.063,300
599,None,0.174,0.041,0.061,300
600,None,0.484,0.049,0.067,300
601,None,0.170,0.047,0.071,300
602,bump,0.271,0.021,0.064,300
603,damage,0.376,0.019,0.063,300
604,None,0.177,0.021,0.066,300
605,None,0.481,0.034,0.070,300
606,None,0.220,0.019,0.058,300
607,damage,0.202,0.032,0.063,300
608,None,0.174,0.041,0.061,300
609,None,0.484,0.049,0.067,300
610,None,0.170,0.047,0.071,300
611,bump,0.271,0.021,0.064,300
612,damage,0.376,0.019,0.063,300
613,None,0.177,0.021,0.066,300
614,None,0.481,0.034,0.070,300
615,None,0.220,0.019,0.058,300
616,damage,0.202,0.032,0.063,300
617,None,0.174,0.041,0.061,300
618,None,0.484,0.049,0.067,300
619,None,0.170,0.047,0.071,300
620,bump,0.271,0.021,0.064,300
621,damage,0.376,0.019,0.063,300
622,None,0.177,0.021,0.066,300
623,None,0.481,0.034,0.070,300
624,None,0.220,0.019,0.058,300
625,damage,0.202,0.032,0.063,300
626,None,0.174,0.041,0.061,300
627,None,0.484,0.049,0.067,300
628,None,0.170,0.047,0.071,300
629,bump,0.271,0.021,0.064,300
630,damage,0.376,0.019,0.063,300
631,None,0.177,0.021,0.066,300
632,None,0.481,0.034,0.070,300
633,None,0.220,0.019,0.058,300
634,damage,0.202,0.032,0.063,300
635,None,0.174,0.041,0.061,300
636,None,0.484,0.049,0.067,300
637,None,0.170,0.047,0.071,300
638,bump,0.271,0.021,0.064,300
639,damage,0.376,0.019,0.063,300
640,None,0.177,0.021,0.066,300
641,None,0.481,0.034,0.070,300
642,None,0.220,0.019,0.058,300
643,damage,0.202,0.032,0.063,300
644,None,0.174,0.041,0.061,300
645,None,0.484,0.049,0.067,300
646,None,0.170,0.047,0.071,300
647,bump,0.271,0.021,0.064,300
648,damage,0.376,0.019,0.063,300
649,None,0.177,0.021,0.066,300
650,None,0.481,0.034,0.070,300
651,None,0.220,0.019,0.058,300
652,damage,0.202,0.032,0.063,300
653,None,0.174,0.041,0.061,300
654,None,0.484,0.049,0.067,300
655,None,0.170,0.047,0.071,300
656,bump,0.271,0.021,0.064,300
657,damage,0.376,0.019,0.063,300
658,None,0.177,0.021,0.066,300
659,None,0.481,0.034,0.070,300
660,None,0.220,0.019,0.058,300
661,damage,0.202,0.032,0.063,300
662,None,0.174,0.041,0.061,300
663,None,0.484,0.049,0.067,300
664,None,0.170,0.047,0.071,300
665,bump,0.271,0.021,0.064,300
666,damage,0.376,0.019,0.063,300
667,None,0.177,0.021,0.066,300
668,None,0.481,0.034,0.070,300
669,None,0.220,0.019,0.058,300
670,damage,0.202,0.032,0.063,300
671,None,0.174,0.041,0.061,300
672,None,0.484,0.049,0.067,300
673,None,0.170,0.047,0.071,300
674,bump,0.271,0.021,0.064,300
675,damage,0.376,0.019,0.063,300
676,None,0.177,0.021,0.066,300
677,None,0.481,0.034,0.070,300
678,None,0.220,0.019,0.058,300
679,damage,0.202,0.032,0.063,300
680,None,0.174,0.041,0.061,300
681,None,0.484,0.049,0.067,300
682,None,0.170,0.047,0.071,300
683,bump,0.271,0.021,0.064,300
684,damage,0.376,0.019,0.063,300
685,None,0.177,0.021,0.066,300
686,None,0.481,0.034,0.070,300
687,None,0.220,0.019,0.058,300
688,damage,0.202,0.032,0.063,300
689,None,0.174,0.041,0.061,300
690,None,0.484,0.049,0.067,300
691,None,0.170,0.047,0.071,300
692,bump,0.271,0.021,0.064,300
693,damage,0.376,0.019,0.063,300
694,None,0.177,0.021,0.066,300
695,None,0.481,0.034,0.070,300
696,None,0.220,0.019,0.058,300
697,damage,0.202,0.032,0.063,300
698,None,0.174,0.041,0.061,300
699,None,0.484,0.049,0.067,300
700,None,0.170,0.047,0.071,300
701,bump,0.271,0.021,0.064,300
702,damage,0.376,0.019,0.063,300
703,None,0.177,0.021,0.066,300
704,None,0.481,0.034,0.070,300
705,None,0.220,0.019,0.058,300
706,damage,0.202,0.032,0.063,300
707,None,0.174,0.041,0.061,300
708,None,0.484,0.049,0.067,300
709,None,0.170,0.047,0.071,300
710,bump,0.271,0.021,0.064,300
711,damage,0.376,0.019,0.063,300
712,None,0.177,0.021,0.066,300
713,None,0.481,0.034,0.070,300
714,None,0.220,0.019,0.058,300
715,damage,0.202,0.032,0.063,300
716,None,0.174,0.041,0.061,300
717,None,0.484,0.049,0.067,300
718,None,0.170,0.047,0.071,300
719,bump,0.271,0.021,0.064,300
720,damage,0.376,0.019,0.063,300
721,None,0.177,0.021,0.066,300
722,None,0.481,0.034,0.070,300
723,None,0.220,0.019,0.058,300
724,damage,0.202,0.032,0.063,300
725,None,0.174,0.041,0.061,300
726,None,0.484,0.049,0.067,300
727,None,0.170,0.047,0.071,300
728,bump,0.271,0.021,0.064,300
729,damage,0.376,0.019,0.063,300
730,None,0.177,0.021,0.066,300
731,None,0.481,0.034,0.070,300
732,None,0.220,0.019,0.058,300
733,damage,0.202,0.032,0.063,300
734,None,0.174,0.041,0.061,300
735,None,0.484,0.049,0.067,300
736,None,0.170,0.047,0.071,300
737,bump,0.271,0.021,0.064,300
738,damage,0.376,0.019,0.063,300
739,None,0.177,0.021,0.066,300
740,None,0.481,0.034,0.070,300
741,None,0.220,0.019,0.058,300
742,damage,0.202,0.032,0.063,300
743,None,0.174,0.041,0.061,300
744,None,0.484,0.049,0.067,300
745,None,0.170,0.047,0.071,300
746,bump,0.271,0.021,0.064,300
747,damage,0.376,0.019,0.063,300
748,None,0.177,0.021,0.066,300
749,None,0.481,0.034,0.070,300
750,None,0.220,0.019,0.058,300
751,damage,0.202,0.032,0.063,300
752,None,0.174,0.041,0.061,300
753,None,0.484,0.049,0.067,300
754,None,0.170,0.047,0.071,300
755,bump,0.271,0.021,0.064,300
756,damage,0.376,0.019,0.063,300
